,subject_race_black,subject_race_asian/pacific islander,subject_race_other,subject_sex_female,vehicle_tier_LEGACY,vehicle_tier_LUXURY,vehicle_tier_MID,vehicle_tier_MOTORCYCLE,vehicle_tier_TRAILER,vehicle_tier_UNKNOWN,violation_severity_2.0,violation_severity_3.0,city_location_east,city_location_north,city_location_south,city_location_unknown,city_location_west,age_category_25-34,age_category_35-54,age_category_55-64,age_category_65+,age_category_Unknown,year_cat_2019,year_cat_2020,disposition_severity,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos
25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0
27,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0
28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0
31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0
32,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0
33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0
34,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0
35,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0
36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0
37,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0
38,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0
